PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,Batter,BatterSide,Outs,Balls,Strikes,TaggedPitchType,PitchCall,PlayResult,TaggedHitType,RelSpeed
15,2026/3/23,3,4,小松,Right,4,Left,2,3,0,Slider,StrikeCalled,,,129
16,2026/3/23,3,5,小松,Right,4,Left,2,3,1,Slider,InPlay,Error,,128
17,2026/3/23,4,1,小松,Right,5,Right,2,0,0,Fastball,StrikeCalled,,,
18,2026/3/23,4,2,小松,Right,5,Right,2,0,1,Slider,InPlay,Out,FlyBall,130
1,2026/3/23,1,1,佐宗,Left,16,Right,0,0,0,Slider,BallCalled,,,
2,2026/3/23,1,2,佐宗,Left,16,Right,0,1,0,Fastball,FoulBallFieldable,,,
3,2026/3/23,1,3,佐宗,Left,16,Right,0,1,1,Slider,BallCalled,,,116
4,2026/3/23,1,4,佐宗,Left,16,Right,0,2,1,Fastball,BallCalled,,,134
5,2026/3/23,1,5,佐宗,Left,16,Right,0,3,1,Fastball,InPlay,Out,FlyBall,
6,2026/3/23,2,1,佐宗,Left,7,Right,1,0,0,Fastball,StrikeCalled,,,
7,2026/3/23,2,2,佐宗,Left,7,Right,1,0,1,TwoSeamFastball,BallCalled,,,131
8,2026/3/23,2,3,佐宗,Left,7,Right,1,1,1,Slider,InPlay,Single,FlyBall,125
9,2026/3/23,3,1,佐宗,Left,18,Right,1,0,0,Fastball,BallCalled,,,
10,2026/3/23,3,2,佐宗,Left,18,Right,1,1,0,Fastball,BallCalled,,,
11,2026/3/23,3,3,佐宗,Left,18,Right,1,2,0,Fastball,BallCalled,,,
12,2026/3/23,3,4,佐宗,Left,18,Right,1,3,0,Fastball,BallCalled,Walk,,
13,2026/3/23,4,1,佐宗,Left,9,Left,1,0,0,Fastball,StrikeSwinging,,,133
14,2026/3/23,4,2,佐宗,Left,9,Left,1,0,1,Fastball,InPlay,Out,GroundBall,134
15,2026/3/23,5,1,佐宗,Left,11,Right,2,0,0,Fastball,BallCalled,,,
16,2026/3/23,5,2,佐宗,Left,11,Right,2,1,0,Fastball,StrikeCalled,,,
17,2026/3/23,5,3,佐宗,Left,11,Right,2,1,1,Fastball,InPlay,Out,FlyBall,
1,2026/3/23,1,1,越井,Right,12,Left,0,0,0,Cutter,,,,132
2,2026/3/23,1,2,越井,Right,12,Left,0,0,0,Fastball,BallCalled,,,135
3,2026/3/23,1,3,越井,Right,12,Left,0,1,0,Cutter,InPlay,Single,GroundBall,131
4,2026/3/23,2,1,越井,Right,13,Left,0,0,0,Fastball,FoulBallFieldable,,,135
5,2026/3/23,2,2,越井,Right,13,Left,0,0,1,Fastball,BallCalled,,,
6,2026/3/23,2,3,越井,Right,13,Left,0,1,1,Cutter,BallCalled,,,133
7,2026/3/23,2,4,越井,Right,13,Left,0,2,1,Fastball,InPlay,Single,GroundBall,
8,2026/3/23,3,1,越井,Right,14,Left,0,0,0,Slider,StrikeCalled,,,125
9,2026/3/23,3,2,越井,Right,14,Left,0,0,1,Fastball,FoulBallFieldable,,,
10,2026/3/23,3,3,越井,Right,14,Left,0,0,2,Fastball,FoulBallFieldable,,,137
11,2026/3/23,3,4,越井,Right,14,Left,0,0,2,Fastball,FoulBallFieldable,,,139
12,2026/3/23,3,5,越井,Right,14,Left,0,0,2,Slider,BallCalled,,,126
13,2026/3/23,3,6,越井,Right,14,Left,0,1,2,Fastball,FoulBallFieldable,,,142
14,2026/3/23,3,7,越井,Right,14,Left,0,1,2,Fastball,StrikeCalled,Strikeout,,
15,2026/3/23,4,1,越井,Right,5,Right,1,0,0,Fastball,StrikeCalled,,,135
16,2026/3/23,4,2,越井,Right,5,Right,1,0,1,Cutter,StrikeCalled,,,
17,2026/3/23,4,3,越井,Right,5,Right,1,0,2,Fastball,BallCalled,,,
18,2026/3/23,4,4,越井,Right,5,Right,1,1,2,Fastball,StrikeSwinging,Strikeout,,139
19,2026/3/23,5,1,越井,Right,6,Right,2,0,0,Fastball,FoulBallFieldable,,,
20,2026/3/23,5,2,越井,Right,6,Right,2,0,1,Fastball,FoulBallFieldable,,,143
21,2026/3/23,5,3,越井,Right,6,Right,2,0,2,Fastball,StrikeSwinging,Strikeout,,143
1,2026/3/23,1,1,香西,Left,7,Right,0,0,0,Splitter,InPlay,Out,FlyBall,120
