PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,Batter,BatterSide,Outs,Balls,Strikes,TaggedPitchType,PitchCall,PlayResult,TaggedHitType,RelSpeed,Runner
8,2026/2/11,2,4,越井,Right,"Yamane, Juntaro",Right,1,1,2,Splitter,FoulBallFieldable,,,124,1
9,2026/2/11,2,5,越井,Right,"Yamane, Juntaro",Right,1,1,2,Fastball,StrikeSwinging,Strikeout,,144,1
10,2026/2/11,3,1,越井,Right,"Okanishi, Yuya",Left,2,0,0,Cutter,StrikeCalled,,,132,
11,2026/2/11,3,2,越井,Right,"Okanishi, Yuya",Left,2,0,1,Splitter,InPlay,Out,GroundBall,127,
12,2026/2/11,1,1,越井,Right,"Terao, Kensei",Right,0,0,0,TwoSeamFastball,BallCalled,,,134,
13,2026/2/11,1,2,越井,Right,"Terao, Kensei",Right,0,1,0,Fastball,StrikeCalled,,,142,
14,2026/2/11,1,3,越井,Right,"Terao, Kensei",Right,0,1,1,Fastball,BallCalled,,,144,
15,2026/2/11,1,4,越井,Right,"Terao, Kensei",Right,0,2,1,Fastball,StrikeCalled,,,142,
16,2026/2/11,1,5,越井,Right,"Terao, Kensei",Right,0,2,2,Splitter,InPlay,Out,GroundBall,125,
17,2026/2/11,2,1,越井,Right,"Ogata, Mikito",Left,1,0,0,TwoSeamFastball,BallCalled,,,136,
18,2026/2/11,2,2,越井,Right,"Ogata, Mikito",Left,1,1,0,Fastball,StrikeCalled,,,147,
19,2026/2/11,2,3,越井,Right,"Ogata, Mikito",Left,1,1,1,Curveball,FoulBallFieldable,,,105,
20,2026/2/11,2,4,越井,Right,"Ogata, Mikito",Left,1,1,2,Fastball,BallCalled,,,146,
21,2026/2/11,2,5,越井,Right,"Ogata, Mikito",Left,1,2,2,Fastball,FoulBallFieldable,,,147,
22,2026/2/11,2,6,越井,Right,"Ogata, Mikito",Left,1,2,2,Splitter,FoulBallFieldable,,,127,
23,2026/2/11,2,7,越井,Right,"Ogata, Mikito",Left,1,2,2,Fastball,BallCalled,,,148,
24,2026/2/11,2,8,越井,Right,"Ogata, Mikito",Left,1,3,2,Splitter,FoulBallFieldable,,,125,
25,2026/2/11,2,9,越井,Right,"Ogata, Mikito",Left,1,3,2,Cutter,BallCalled,Walk,,133,
26,2026/2/11,3,1,越井,Right,"Takahashi, Hiroto",Right,1,0,0,Cutter,BallCalled,,,128,1
27,2026/2/11,3,2,越井,Right,"Takahashi, Hiroto",Right,1,1,0,Fastball,InPlay,Error,GroundBall,142,1
28,2026/2/11,4,1,越井,Right,"Tokumaru, Kaisei",Left,1,0,0,Fastball,BallCalled,,,143,1.2
29,2026/2/11,4,2,越井,Right,"Tokumaru, Kaisei",Left,1,1,0,Cutter,BallCalled,,,128,1.2
30,2026/2/11,4,3,越井,Right,"Tokumaru, Kaisei",Left,1,2,0,Fastball,StrikeCalled,,,142,1.2
31,2026/2/11,4,4,越井,Right,"Tokumaru, Kaisei",Left,1,2,1,Cutter,StrikeCalled,,,129,1.2
32,2026/2/11,4,5,越井,Right,"Tokumaru, Kaisei",Left,1,2,2,Splitter,FoulBallFieldable,,,129,1.2
33,2026/2/11,4,6,越井,Right,"Tokumaru, Kaisei",Left,1,2,2,Fastball,StrikeSwinging,Strikeout,,144,1.2
34,2026/2/11,5,1,越井,Right,"Ouchi, Aoma",Left,2,0,0,TwoSeamFastball,StrikeCalled,,,130,
35,2026/2/11,5,2,越井,Right,"Ouchi, Aoma",Left,2,0,1,Splitter,BallCalled,,,129,
36,2026/2/11,5,3,越井,Right,"Ouchi, Aoma",Left,2,1,1,Fastball,BallCalled,,,144,
37,2026/2/11,5,4,越井,Right,"Ouchi, Aoma",Left,2,2,1,Fastball,FoulBallFieldable,,,146,
38,2026/2/11,5,5,越井,Right,"Ouchi, Aoma",Left,2,2,2,Splitter,BallCalled,,,128,
39,2026/2/11,5,6,越井,Right,"Ouchi, Aoma",Left,2,3,2,Fastball,FoulBallFieldable,,,144,
40,2026/2/11,5,7,越井,Right,"Ouchi, Aoma",Left,2,3,2,Cutter,BallCalled,Walk,,132,
41,2026/2/11,6,1,越井,Right,"Ogata, Mikito",Left,2,0,0,Fastball,InPlay,Out,Bunt,143,1
42,2026/2/11,7,1,越井,Right,"Ouchi, Aoma",Left,2,0,0,Fastball,InPlay,Out,FlyBall,144,
1,2026/2/11,1,1,安田,Right,"Mito, Souta",Left,0,0,0,Fastball,BallCalled,,,134,
2,2026/2/11,1,2,安田,Right,"Mito, Souta",Left,0,1,0,Fastball,StrikeCalled,,,133,
3,2026/2/11,1,3,安田,Right,"Mito, Souta",Left,0,1,1,ChangeUp,BallCalled,,,110,
4,2026/2/11,1,4,安田,Right,"Mito, Souta",Left,0,2,1,Fastball,BallCalled,,,130,
5,2026/2/11,1,5,安田,Right,"Mito, Souta",Left,0,3,1,Fastball,FoulBallFieldable,,,133,
6,2026/2/11,1,6,安田,Right,"Mito, Souta",Left,0,3,2,ChangeUp,StrikeSwinging,Strikeout,,119,
7,2026/2/11,2,1,安田,Right,"Yuasa, Ousuke",Right,1,0,0,Slider,StrikeCalled,,,114,
